"Date","Sales","TV_Ads_Expenditure","Social_Media_Ads_Expenditure","Discounts_Offered","Customer_Traffic","Competitor_Pricing","Seasonality_Factor","Economic_Indicator"
2006-01-01,5785.45,4439.52,2203.36,12.61,190,92.75,0.02,2.66
2006-01-08,7789.19,4769.82,2168.04,25.82,205,107.68,0.14,2.67
2006-01-15,7434.92,6558.71,2985.62,19.84,180,92.85,0.26,3.39
2006-01-22,5997,5070.51,2894.26,25.18,210,112.52,0.37,2.14
2006-01-29,6085.19,5129.29,960.53,12.35,193,104.95,0.48,2.03
2006-02-05,7367.99,6715.06,3832.46,8.53,227,104.86,0.58,2.13
2006-02-12,6596.89,5460.92,3199.78,27.22,228,102.11,0.67,2.54
2006-02-19,8125.77,3734.94,4932.97,5.21,193,84.75,0.76,2.49
2006-02-26,5612.38,4313.15,3548.16,19.23,228,109.87,0.83,2.16
2006-03-05,5081.73,4554.34,2642.43,29.19,208,117.9,0.89,2.23
2006-03-12,9552.94,6224.08,5237.91,11.73,205,97.85,0.94,2.49
2006-03-19,8704.45,5359.81,5265.78,29.6,192,100.77,0.97,1.22
2006-03-26,5805.34,5400.77,2025.03,5.88,210,99.5,0.99,2.66
2006-04-02,7880.72,5110.68,3375.23,11.45,205,97.86,1,1.54
2006-04-09,7329.54,4444.16,2831,11.5,189,93.72,0.99,2.11
2006-04-16,7819.65,6786.91,3149.64,28.7,211,112.43,0.97,2.87
2006-04-23,6799.68,5497.85,3182.03,29.49,209,105.28,0.93,2.12
2006-04-30,5019.96,3033.38,1990.48,23.36,217,104.36,0.88,1.66
2006-05-07,9364.49,5701.36,3228.47,12.19,228,107.68,0.82,1.79
2006-05-14,8089.43,4527.21,4399.4,15.22,190,96.27,0.74,1.97
2006-05-21,7175.78,3932.18,2868.73,10.04,197,84.22,0.66,1.49
2006-05-28,6073.73,4782.03,2869.66,24.16,193,117.26,0.56,1.99
2006-06-04,7700.15,3974,4118.86,23.58,233,90.22,0.46,1.96
2006-06-11,7046.22,4271.11,3718.72,17.46,180,100.21,0.35,1.89
2006-06-18,5952.02,4374.96,1681.2,21.76,187,113.91,0.23,2.19
2006-06-25,4906.28,3313.31,3182.85,23.81,213,97.53,0.11,1.96
2006-07-02,6268.12,5837.79,4322.84,24.35,189,118.46,-0.01,1.76
2006-07-09,5039.76,5153.37,4132.22,20.13,172,75.63,-0.13,1.76
2006-07-16,4560.04,3861.86,3335.96,14.76,201,99.94,-0.25,1.72
2006-07-23,9477.58,6253.81,3576.98,21.78,200,110.09,-0.36,1.72
2006-07-30,6054.72,5426.46,2042.45,26.73,214,105.23,-0.47,1.74
2006-08-06,5440.76,4704.93,3240.11,15.91,174,101.62,-0.57,1.66
2006-08-13,6637.67,5895.13,2236.44,8.01,215,109.2,-0.67,1.55
2006-08-20,4291.24,5878.13,2633.59,20.47,166,104.98,-0.75,2.13
2006-08-27,5794.16,5821.58,3748.48,17.01,198,101.53,-0.83,2.03
2006-09-03,8398.41,5688.64,2090.49,28.1,196,82.03,-0.89,2.67
2006-09-10,6162.95,5553.92,3213.53,11.02,184,109.69,-0.94,1.51
2006-09-17,6084.55,4938.09,3342.67,24.41,199,105.46,-0.97,2.34
2006-09-24,6805.44,4694.04,3043.93,23.8,200,98.86,-0.99,1.68
2006-10-01,4674.88,4619.53,4457.75,21.91,177,82.2,-1,2.17
2006-10-08,5520.35,4305.29,2182.12,18.79,170,102.34,-0.99,1.08
2006-10-15,6403.42,4792.08,3484.9,19.95,211,96.13,-0.97,1.59
2006-10-22,3838.72,3734.6,2928.86,26.66,191,103.76,-0.93,2.63
2006-10-29,6081.45,7168.96,2791.33,17.38,186,96.13,-0.88,2.44
2006-11-05,5175.11,6207.96,3371.27,29.51,210,114.03,-0.82,2.04
2006-11-12,4818.35,3876.89,2183.68,6.73,179,89.38,-0.75,1.95
2006-11-19,6052.59,4597.12,1949.24,18.9,188,93.08,-0.66,1.74
2006-11-26,5891.99,4533.34,2604.42,9.73,214,119.26,-0.57,1.95
2006-12-03,5542.14,5779.97,4401.41,12.41,195,85.29,-0.46,1.65
2006-12-10,7883.88,4916.63,3044.61,26.03,216,88.94,-0.35,1.7
2006-12-17,6421.18,5253.32,3265.15,10.13,200,110.64,-0.24,2.88
2006-12-24,5963.73,4971.45,2848.12,19.57,211,99.77,-0.12,2.41
2006-12-31,6857.13,4957.13,3376.39,14.91,203,87.87,0,3.31
2007-01-07,8606.84,6368.6,2238.66,12.64,212,111.13,0.12,2.45
2007-01-14,6905.85,4774.23,3926.33,16.81,200,99.82,0.24,1.91
2007-01-21,6150.6,6516.47,3467.76,23.58,215,90.58,0.35,2.18
2007-01-28,5543.54,3451.25,2354.84,29.42,195,102.16,0.46,2.12
2007-02-04,10167.84,5584.61,3043.64,8.91,189,91.31,0.57,2.64
2007-02-11,8742.47,5123.85,3573.07,8.24,211,90.15,0.66,1.83
2007-02-18,6794.68,5215.94,3446.18,19.51,191,102.21,0.75,2.99
2007-02-25,6483.1,5379.64,4185.55,8.43,162,103.7,0.82,1.64
2007-03-04,6998.88,4497.68,2509.61,10.05,212,100.8,0.88,1.92
2007-03-11,6986.84,4666.79,3892.91,13.54,190,101.93,0.93,1.94
2007-03-18,6692.93,3981.42,3829.24,11.65,193,94.1,0.97,1.89
2007-03-25,4330.73,3928.21,2870.01,23.04,199,113.03,0.99,2.89
2007-04-01,7554.31,5303.53,2219.26,22.39,217,99.63,1,1.67
2007-04-08,7131.77,5448.21,2128.68,24.86,198,82.94,0.99,2.29
2007-04-15,7615.82,5053,3366.23,11.86,207,103.17,0.97,1.17
2007-04-22,7220.76,5922.27,2943.1,9.55,207,97.44,0.94,1.45
2007-04-29,8979.89,7050.08,4423.28,16.57,205,103.66,0.89,2.41
2007-05-06,6850.99,4508.97,3428.11,18.76,191,101.48,0.83,1.49
2007-05-13,5406.3,2690.83,2702.44,20.57,190,89.1,0.75,2.01
2007-05-20,7002.73,6005.74,2179.57,17.07,193,88.56,0.67,1.56
2007-05-27,7478.47,4290.8,2534.08,8.25,190,91.85,0.57,1.81
2007-06-03,5316.48,4311.99,3274.31,27.1,182,110.65,0.47,1.49
2007-06-10,8857.2,6025.57,2639.25,29.78,228,104.57,0.36,1.97
2007-06-17,6931.11,4715.23,3411.38,26.55,173,117.1,0.25,2.05
2007-06-24,5378.39,3779.28,2732.53,26.31,217,97.86,0.13,1.81
2007-07-01,7819.16,5181.3,2915.55,14.44,191,103.3,0.01,1.01
2007-07-08,7087.99,4861.11,2415.59,20.43,209,110.07,-0.11,1.79
2007-07-15,8383.07,5005.76,4524.03,17.96,217,112.8,-0.23,0.97
2007-07-22,6303.04,5385.28,3266.1,5.92,216,101.05,-0.35,1.61
2007-07-29,6405.78,4629.34,3184.51,23.58,193,109.41,-0.46,2.21
2007-08-05,5412.38,5644.38,1646.51,26.06,182,101.84,-0.56,1.71
2007-08-12,5819.76,4779.51,3527.83,6.23,215,104.98,-0.66,1.41
2007-08-19,7015.31,5331.78,2181.1,27.33,208,90.79,-0.74,2.38
2007-08-26,5275.77,6096.84,2286.78,14.45,193,99.04,-0.82,1.27
2007-09-02,6557.62,5435.18,3734.67,22.39,175,102.21,-0.88,1.5
2007-09-09,4495.02,4674.07,2637.84,22.93,211,103.14,-0.93,2.17
2007-09-16,5516.27,6148.81,1601.3,22.06,216,89.51,-0.97,1.06
2007-09-23,8458.49,5993.5,4415.92,12.51,198,107.22,-0.99,2.3
2007-09-30,3777.43,5548.4,1098.07,12.57,211,103.95,-1,2.14
2007-10-07,6097.81,5238.73,3458.25,16.9,203,102.77,-0.99,2.37
2007-10-14,5403.69,4372.09,3813.8,6.21,212,90.28,-0.97,2.5
2007-10-21,5719.47,6360.65,2495.23,17.29,191,107.81,-0.94,1.35
2007-10-28,5252.35,4399.74,3355.43,19.72,224,97.69,-0.89,1.93
2007-11-04,7348.96,7187.33,3351.3,10.87,162,99.68,-0.83,1.07
2007-11-11,7289.05,6532.61,3832.5,29.12,202,93.89,-0.76,2.56
2007-11-18,5198.58,4764.3,3387.28,9,180,107.84,-0.67,2.76
2007-11-25,6824.69,3973.58,2804.09,19.38,204,90.32,-0.58,2.67
2007-12-02,5972.02,4289.59,3732.79,15.52,220,99.71,-0.48,1.99
2007-12-09,5625.15,5256.88,3640.5,8.06,179,92.06,-0.37,1.91
2007-12-16,6258.5,4753.31,2250.74,14.11,199,87.25,-0.26,1.87
2007-12-23,4430.18,4652.46,1879.37,29.97,199,97.71,-0.14,2.5
2007-12-30,5717.38,4048.38,3128.22,24.95,191,80.22,-0.02,1.69
2008-01-06,6395.83,4954.97,2780.83,13.75,216,93.49,0.1,1.57
2008-01-13,4217.25,4215.1,2211.57,28.42,193,98.27,0.22,2.21
